hru;band;precip;pet;z;is_channel;edges;area;geom;sf_type;sf_param;rz_type;rz_param;uz_type;uz_param;sz_type;sz_param;uid;name;s_sf;s_rz;s_uz;s_sz
23;1;precip;precip;504.680603027344;FALSE;{"hru":[67,293,409,234,68,473,176,117],"width":[0.0465463051458552,0.115270233154297,0.178491701138763,0.0893516540527344,0.0228218078613281,0.12904083749841,0.0711067199707031,0.0207284270122762],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351254 511764, 351254 511804, 351294 511804, 351294 511764, 351254 511764));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
24;1;precip;precip;463.471466064453;FALSE;{"hru":[177,70,3815,120,3743,3441,3666,3817],"width":[0.0529812185415409,0.0264122009277344,0.126602928910625,0.0371452331542969,0.176128387451172,0.0327431785410586,0.0708724975585937,0.161875727581828],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351814 511684, 351814 511724, 351854 511724, 351854 511684, 351814 511684));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
25;1;precip;precip;282.614471435547;FALSE;{"hru":[119,71,5456,179,121,9347,9379,9380],"width":[0.0165836047772785,0.00897216796875,0.0518159424739117,0.0294754028320313,0.0125282287597656,0.0762543711144685,0.0793670654296875,0.0479392416304008],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350494 511644, 350494 511684, 350534 511684, 350534 511644, 350494 511644));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
26;1;precip;precip;501.173950195312;FALSE;{"hru":[357,72,180,123,124,358,241,359],"width":[0.0483287459455991,0.0117324829101562,0.0358074230151946,0.054364013671875,0.0419265747070312,0.0480751905049576,0.0598442077636719,0.0554914174038921],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351414 511564, 351414 511604, 351454 511604, 351454 511564, 351414 511564));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
27;1;precip;precip;500.280914306641;FALSE;{"hru":[180,73,640,124,240,359,183,1532],"width":[0.0200206296971237,0.0119857788085938,0.14393694989627,0.0196006774902344,0.131352233886719,0.0397046240858212,0.0547454833984375,0.100631299073678],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351494 511564, 351494 511604, 351534 511604, 351534 511564, 351494 511564));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
28;1;precip;precip;479.290710449219;FALSE;{"hru":[181,74,239,125,182,1678,75,126],"width":[0.0700897370289135,0.0449440002441406,0.076143238304315,0.0709617614746094,0.0592269897460938,0.0896226771125479,0.04365234375,0.03582198896604],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((352174 511564, 352174 511604, 352214 511604, 352214 511564, 352174 511564));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
29;1;precip;precip;502.069641113281;FALSE;{"hru":[127,76,1348,1169,1286,1226,1117,1227],"width":[0.0245112583947836,0.0218017578125,0.0912529846479069,0.0553985595703125,0.0793609619140625,0.0462830390713167,0.0349388122558594,0.0509317353096319],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351414 511404, 351414 511444, 351454 511444, 351454 511404, 351414 511404));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
30;1;precip;precip;510.448425292969;FALSE;{"hru":[360,77,303,242,78],"width":[0.0974046712215994,0.00448760986328125,0.106808471679688,0.0709075881948976,0.0268417358398437],slope:[14.1421356237309,20,20,14.1421356237309,20]};1600;POLYGON ((352614 511324, 352614 511364, 352654 511364, 352654 511324, 352614 511324));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
31;1;precip;precip;515.369323730469;FALSE;{"hru":[186,304,907,130,243,189,80,190],"width":[0.0344619607408117,0.119113159179687,0.192561330696064,0.0313446044921875,0.117739105224609,0.0577556135408549,0.0081390380859375,0.062146977980902],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351454 511204, 351454 511244, 351494 511244, 351494 511204, 351454 511204));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
32;1;precip;precip;654.037170410156;FALSE;{"hru":[79,132,191],"width":[0.00869293212890625,0.0111648559570313,0.0122979783507756],slope:[20,20,14.1421356237309]};1600;POLYGON ((349014 511164, 349014 511204, 349054 511204, 349054 511164, 349014 511164));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
33;1;precip;precip;491.771789550781;FALSE;{"hru":[188,131,748,81,82,134],"width":[0.0960209058912897,0.103849029541016,0.0854012487656967,0.0338729858398438,0.0566825866699219,0.0253927681607587],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309]};1600;POLYGON ((352374 511164, 352374 511204, 352414 511204, 352414 511164, 352374 511164));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
34;1;precip;precip;486.480133056641;FALSE;{"hru":[2940,597,543,83,84,2708],"width":[0.103044931076721,0.0850593566894531,0.0416974619533315,0.0397514343261719,0.00943984985351562,0.0412464569567861],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309]};1600;POLYGON ((352134 511044, 352134 511084, 352174 511084, 352174 511044, 352134 511044));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
35;1;precip;precip;496.723083496094;FALSE;{"hru":[1928,1849,1929,1768,86],"width":[0.047483381316907,0.0424285888671875,0.031456519549718,0.0304252624511719,0.0113494873046875],slope:[14.1421356237309,20,14.1421356237309,20,20]};1600;POLYGON ((351854 510924, 351854 510964, 351894 510964, 351894 510924, 351854 510924));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
36;1;precip;precip;524.053833007812;FALSE;{"hru":[193,85,135,136,87],"width":[0.0627414845672573,0.0344635009765625,0.0539220710702193,0.0404312133789062,0.0227984104713009],slope:[14.1421356237309,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351494 510884, 351494 510924, 351534 510924, 351534 510884, 351494 510884));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
37;1;precip;precip;515.668579101562;FALSE;{"hru":[250,88,196,138,89],"width":[0.10913727488771,0.0325103759765625,0.0976814270019531,0.067786698356363,0.0075103759765625],slope:[14.1421356237309,20,20,14.1421356237309,20]};1600;POLYGON ((351614 510564, 351614 510604, 351654 510604, 351654 510564, 351614 510564));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
38;1;precip;precip;585.067504882812;FALSE;{"hru":[252,373,496,90,254,140,199,316],"width":[0.0651259846686096,0.134468078613281,0.159310501794061,0.003839111328125,0.099761962890625,0.0324745176699107,0.0682083129882813,0.115897494518943],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((349814 510364, 349814 510404, 349854 510404, 349854 510364, 349814 510364));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
39;1;precip;precip;672.210021972656;FALSE;{"hru":[253,91,198,200,141,257],"width":[0.0380732375911403,0.00680084228515625,0.0400970458984375,0.0269782988842597,0.0338729858398438,0.0420179128719295],slope:[14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((348734 510324, 348734 510364, 348774 510364, 348774 510324, 348734 510324));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
40;1;precip;precip;495.649200439453;FALSE;{"hru":[1705,92,142,201],"width":[0.0524703313026312,0.0106559753417969,0.0674148559570313,0.0659977838006878],slope:[14.1421356237309,20,20,14.1421356237309]};1600;POLYGON ((351334 510244, 351334 510284, 351374 510284, 351374 510244, 351334 510244));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
